Timestamp,Patient,Sample_N,MSE,RMSE,R2,Pearson_R,CI_95,C,Epsilon,Kernel,Train_Kernel_Sec,Infer_Kernel_Sec
2026-01-28 15:21:29,48,200,49.41853,7.02983,0.80769,0.90389,2.15203,20.0,0.1,Quantum,3.6511,1.0191
2026-01-28 15:23:43,48,500,36.90123,6.07464,0.86720,0.93137,1.18951,20.0,0.1,Quantum,15.0032,6.6314
2026-01-28 15:26:08,48,1000,12.44198,3.52732,0.95361,0.97664,0.48819,20.0,0.1,Quantum,53.3350,26.4146
2026-01-28 15:32:26,48,2000,11.67472,3.41683,0.95769,0.97891,0.33256,20.0,0.1,Quantum,209.9920,110.2701
2026-01-28 17:03:13,48,8000,9.36109,3.05959,0.96784,0.98380,0.14987,20.0,0.1,Quantum,3628.4546,1693.9554
2026-01-28 20:07:06,Single_411,200,126.94487,11.26698,0.58700,0.77427,3.48008,20.0,0.1,Quantum,4.1526,0.5789
2026-01-28 20:08:40,Single_411,500,17.32834,4.16273,0.90186,0.95031,0.81474,20.0,0.1,Quantum,15.7590,3.3363
2026-01-28 20:10:27,Single_411,1000,20.40831,4.51756,0.94405,0.97192,0.62436,20.0,0.1,Quantum,63.5428,21.5058
2026-01-28 20:23:04,Single_411,2000,18.16180,4.26167,0.94877,0.97476,0.41550,20.0,0.1,Quantum,319.1426,62.6873
2026-01-28 21:28:59,Single_411,3000,10.09027,3.17652,0.97156,0.98584,0.25409,20.0,0.1,Quantum,1856.2341,469.8304
